titulo,autor,ano_publicacao,preco
O Sol é Para Todos,Harper Lee,1960,49.90
Sapiens: Uma Breve História da Humanidade,Yuval Noah Harari,2011,69.90
O Guia do Mochileiro das Galáxias,Douglas Adams,1979,34.50
Fahrenheit 451,Ray Bradbury,1953,41.20
O Poder do Hábito,Charles Duhigg,2012,55.00
Crime e Castigo,Fiódor Dostoiévski,1866,75.80
A Menina que Roubava Livros,Markus Zusak,2005,48.00
O Conto da Aia,Margaret Atwood,1985,52.50
Admirável Mundo Novo,Aldous Huxley,1932,44.90
Mindset: A Nova Psicologia do Sucesso,Carol S. Dweck,2006,59.99
